college,prof_firstname,prof_lastname,program,male,non_white,link_rmp,NOTES
OHIO STATE UNIVERSITY,NAOMI,ADANIYA,PUBLIC HEALTH,0,1,https://www.ratemyprofessors.com/professor/2070585,
OHIO STATE UNIVERSITY,OLORUNFEMI,ADETONA,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,REEM,ALY,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,BARBARA,ANDERSON,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,SARA,ANDERSON,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2725804,
OHIO STATE UNIVERSITY,REBECCA,ANDRIDGE,PUBLIC HEALTH,0,1,https://www.ratemyprofessors.com/professor/2408653,
OHIO STATE UNIVERSITY,KELLIE,ARCHER,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2456966,
OHIO STATE UNIVERSITY,ANDREIA,ARRUDA,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,GIA,BARBOZA-SALERNO,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2877290,
OHIO STATE UNIVERSITY,NICHOLAS,BASTA,PUBLIC HEALTH,1,1,https://www.ratemyprofessors.com/professor/1582175,
OHIO STATE UNIVERSITY,MARTHA,BELURY,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/1775016,
OHIO STATE UNIVERSITY,ANDREW,BERGMAN,PUBLIC HEALTH,1,99,DNE,
OHIO STATE UNIVERSITY,MICAH,BERMAN,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,AMANDA,BERRIAN,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,PHILIP,BINKLEY,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,MICHAEL,BISESI,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,JULIE,BOWER,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,ANDREW,BOWMAN,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,THEODORE,BRASKY,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,MARIELLE,BRINKMAN,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,GUY,BROCK,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,ROBERT,CASWELL,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,ALAN,CHANNING,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,DEENA,CHISOLM,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,HYUNYI,CHO,PUBLIC HEALTH,1,1,https://www.ratemyprofessors.com/professor/2581760,
OHIO STATE UNIVERSITY,BRENDA,CLARK,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2448972,
OHIO STATE UNIVERSITY,STEVE,CLINTON,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,CYNTHIA,COLEN,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2592118,
OHIO STATE UNIVERSITY,JENNIFER,COOPER,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,JOHN,CRAWFORD,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,DOUGLAS,CREWS,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/346249,
OHIO STATE UNIVERSITY,KAREN,DANNEMILLER,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2316466,
OHIO STATE UNIVERSITY,ARAM,DOBALIAN,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,MACARIUS,DONNEYONG,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,AHMAD,EL HELLANI,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,ALDENISE,EWING,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,AMY,FAIRCHILD,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,ASHLEY,FELIX,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,AMY,FERKETICH,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2189454,
OHIO STATE UNIVERSITY,SOLEDAD,FERNÁNDEZ,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,AARON,FIELDS,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,JAMES,FISHER,PUBLIC HEALTH,1,99,DNE,
OHIO STATE UNIVERSITY,MARIA,GALLO,PUBLIC HEALTH,0,1,https://www.ratemyprofessors.com/professor/2329795,
OHIO STATE UNIVERSITY,REBECCA,GARABED,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,WONDWOSSEN,GEBREYES,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,GREGORY,GIBSON,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,KYMBERLY,GOWDY,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,DEBORAH,GRAY,PUBLIC HEALTH,0,99,DNE,
OHIO STATE UNIVERSITY,RANDALL,HARRIS,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/1028987,
OHIO STATE UNIVERSITY,WILLIAM,HAYES,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,COURTNEY,HERBERT,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,JENNIFER,HEFNER,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,LIBBEY,HOANG,PUBLIC HEALTH,0,99,DNE,
OHIO STATE UNIVERSITY,ARMANDO,HOET,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,C. TORY HARPER,HOGAN,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,DARRYL,HOOD,PUBLIC HEALTH,1,1,https://www.ratemyprofessors.com/professor/2213866,
OHIO STATE UNIVERSITY,TIMOTHY,HUERTA,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,AMIE,HUFTON,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2896373,
OHIO STATE UNIVERSITY,AYAZ,HYDER,PUBLIC HEALTH,1,1,https://www.ratemyprofessors.com/professor/2217517,
OHIO STATE UNIVERSITY,MOTOMU,IBARAKI,PUBLIC HEALTH,1,1,https://www.ratemyprofessors.com/search/professors/724?q=ibaraki,
OHIO STATE UNIVERSITY,MARIAN MOSER,JONES,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2830921,
OHIO STATE UNIVERSITY,MIRA,KATZ,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/997643,
OHIO STATE UNIVERSITY,GAIL,KAYE,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/489512,
OHIO STATE UNIVERSITY,SARAH,KEIM,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,KELLY,KELLEHER,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,BRITTNEY,KELLER-HAMILTON,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,EBEN,KENAH,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,MARK,KLEBANOFF,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,LIZ,KLEIN,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,DAVID,KLEINE,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,THOMAS,KNOBLOCH,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,BRANDON,KOCH,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,BARBARA,KOWALCYK,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,HILLARY,KUMMER,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,KATHRYN,LANCASTER,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,ROMAN,LANNO,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/128312,
OHIO STATE UNIVERSITY,CLARA,LEE,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,JIYOUNG,LEE,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,STANLEY,LEMESHOW,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/964670,
OHIO STATE UNIVERSITY,JIANRONG,LI,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,RICHARD,LINDER,PUBLIC HEALTH,1,99,https://www.ratemyprofessors.com/professor/2495695,
OHIO STATE UNIVERSITY,STEPHEN,LOEBS,PUBLIC HEALTH,1,99,https://www.ratemyprofessors.com/professor/1499544,
OHIO STATE UNIVERSITY,ASHLEIGH,LOVETTE,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,BO,LU,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,COURTNEY,LYNCH,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,WILLIAM,MARTIN,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/1814252,
OHIO STATE UNIVERSITY,ANN,MCALEARNEY,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,DIANE,MCCLURE,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,LARA,MCKENZIE,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,HAGOP,MEKHJIAN,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,MUHAMMAD,MEREB,PUBLIC HEALTH,1,99,DNE,
OHIO STATE UNIVERSITY,CLARA,MILLER,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2137982,
OHIO STATE UNIVERSITY,WILLIAM,MILLER,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/2618984,
OHIO STATE UNIVERSITY,WILLIAM,MISER,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,ETHAN,MORGAN,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,HAIKADY,NAGARAJA,PUBLIC HEALTH,1,1,https://www.ratemyprofessors.com/professor/1454568,
OHIO STATE UNIVERSITY,SAIRA,NAWAZ,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,JULIANNA,NEMETH,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2239348,
OHIO STATE UNIVERSITY,ANDY AI,NI,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,ABIGAIL,NORRIS TURNER,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,ALISON,NORRIS,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/1811672,
OHIO STATE UNIVERSITY,JOSHUA,NOWACK,PUBLIC HEALTH,1,99,DNE,
OHIO STATE UNIVERSITY,JAMES,ODEI,PUBLIC HEALTH,0,1,https://www.ratemyprofessors.com/professor/2478155,
OHIO STATE UNIVERSITY,TASLEEM,PADAMSEE,PUBLIC HEALTH,0,1,https://www.ratemyprofessors.com/professor/2115886,
OHIO STATE UNIVERSITY,XUELIANG,PAN,PUBLIC HEALTH,1,1,DNE,
OHIO STATE UNIVERSITY,EFTHIMIOS,PARASIDIS,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,LYNNE,PARROTT,PUBLIC HEALTH,0,99,DNE,
OHIO STATE UNIVERSITY,JEFFREY,PARVIN,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,ELECTRA,PASKETT,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,JOANNE,PATTERSON,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,MARIKA HARITOS,PAUL,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2728729,
OHIO STATE UNIVERSITY,TIMOTHY,PAWLIK,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,MICHAEL,PENNELL,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/2401249,
OHIO STATE UNIVERSITY,PHILLIS,PIRIE,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,JESSE,PLASCAK,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,LAURA,POMEROY,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,JANET,PORTER,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,MIKKEL,QUAM,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,CARSON,REIDER,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,PAUL,REITER,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/2300675,
OHIO STATE UNIVERSITY,GRZEGORZ,REMPALA,PUBLIC HEALTH,1,1,https://www.ratemyprofessors.com/professor/2282044,
OHIO STATE UNIVERSITY,SHELDON,RETCHIN,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,JANELLE,RICKS,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,JULIE,ROBBINS,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,MEGAN,ROBERTS,PUBLIC HEALTH,0,0,https://www.ratemyprofessors.com/professor/2453820,
OHIO STATE UNIVERSITY,MYSHEIKA,ROBERTS,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,LYNETTE,ROGERS,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,PAUL,ROSILE,PUBLIC HEALTH,1,0,https://www.ratemyprofessors.com/professor/2706598,
OHIO STATE UNIVERSITY,WOLFGANG,SADEE,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,PAMELA,SALSBERRY,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,PATRICK,SCHNELL,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,RICHARD,SCHROCK,PUBLIC HEALTH,1,99,DNE,
OHIO STATE UNIVERSITY,FERNANDA,SCHUMACHER,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,SHARON,SCHWEIKHART,PUBLIC HEALTH,0,0,DNE,
OHIO STATE UNIVERSITY,SHAWNITA,SEALY-JEFFERSON,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,ERIC,SEIBER,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,PETER,SHIELDS,PUBLIC HEALTH,1,0,DNE,
OHIO STATE UNIVERSITY,ABIGAIL,SHOBEN,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,PARVATI,SINGH,PUBLIC HEALTH,0,1,DNE,
OHIO STATE UNIVERSITY,JONATHAN,SLAUGHTER,PUBLIC HEALTH,1,0,DNE,
