college,prof_firstname,prof_lastname,program,male,non_white,link_rmp,notes
UNIVERSITY OF NORTH CAROLINA,DALE,WHITTINGTON,ENVIRONMENTAL SCIENCES & ENGINEERING,1,0,https://www.ratemyprofessors.com/professor/1003032,
UNIVERSITY OF NORTH CAROLINA,COURTNEY,WOODS,ENVIRONMENTAL SCIENCES & ENGINEERING,0,1,https://www.ratemyprofessors.com/professor/2257520,
UNIVERSITY OF NORTH CAROLINA,KARI,NORTH,EPIDEMIOLOGY,0,0,https://www.ratemyprofessors.com/professor/2129557,
UNIVERSITY OF NORTH CAROLINA,SUZANNE,MAMAN,HEALTH BEHAVIOR,0,0,https://www.ratemyprofessors.com/professor/2867726,Ratings are for Health Science
UNIVERSITY OF NORTH CAROLINA,BENJAMIN,MEIER,HEALTH POLICY & MANAGEMENT,1,0,https://www.ratemyprofessors.com/professor/1438954,Ratings are for Public Policy
UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,NUTRITION,0,0,https://www.ratemyprofessors.com/professor/2137078,Ratings are for Anthropology
UNIVERSITY OF NORTH CAROLINA,ASHLEY,ANDERSON,POLITICAL SCIENCE,0,1,https://www.ratemyprofessors.com/professor/2433426,
UNIVERSITY OF NORTH CAROLINA,CAMERON,BALLARD-ROSA,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2311209,
UNIVERSITY OF NORTH CAROLINA,NAVIN,BAPAT,POLITICAL SCIENCE,1,1,https://www.ratemyprofessors.com/professor/1065039,
UNIVERSITY OF NORTH CAROLINA,ANNA,BASSI,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/1648996,
UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2110893,
UNIVERSITY OF NORTH CAROLINA,SUSAN,BICKFORD,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/977159,
UNIVERSITY OF NORTH CAROLINA,CHRISTOPHER,CLARK,POLITICAL SCIENCE,1,1,https://www.ratemyprofessors.com/professor/1891944,
UNIVERSITY OF NORTH CAROLINA,PAMELA,CONOVER,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/47127,
UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/853456,
UNIVERSITY OF NORTH CAROLINA,STEPHEN,GENT,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/1484189,
UNIVERSITY OF NORTH CAROLINA,SUZANNE,GLOBETTI,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/2698056,
UNIVERSITY OF NORTH CAROLINA,JONATHAN,HARTLYN,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2426834,
UNIVERSITY OF NORTH CAROLINA,MARC,HETHERINGTON,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2545416,
UNIVERSITY OF NORTH CAROLINA,LIESBET,HOOGHE,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/1161460,
UNIVERSITY OF NORTH CAROLINA,EVELYNE,HUBER,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/439676,
UNIVERSITY OF NORTH CAROLINA,ROBERT,JENKINS,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2080212,
UNIVERSITY OF NORTH CAROLINA,MARY,KROEGER,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/2648484,
UNIVERSITY OF NORTH CAROLINA,GARY,MARKS,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2219605,
UNIVERSITY OF NORTH CAROLINA,LUCY,MARTIN,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/2593392,
UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,POLITICAL SCIENCE,0,1,https://www.ratemyprofessors.com/professor/1514959,
UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,POLITICAL SCIENCE,1,1,https://www.ratemyprofessors.com/professor/781403,
UNIVERSITY OF NORTH CAROLINA,ALEXANDRA,OPREA,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/2307457,Ratings are for Philosophy
UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2172871,
UNIVERSITY OF NORTH CAROLINA,GRAEME,ROBERTSON,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/469188,
UNIVERSITY OF NORTH CAROLINA,TIMOTHY,RYAN,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/1940326,
UNIVERSITY OF NORTH CAROLINA,DONALD,SEARING,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2323500,
UNIVERSITY OF NORTH CAROLINA,JEFF,SPINNER-HALEV,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/932620,
UNIVERSITY OF NORTH CAROLINA,NIKLAUS,STEINER,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2641949,
UNIVERSITY OF NORTH CAROLINA,ISAAC,UNAH,POLITICAL SCIENCE,1,1,https://www.ratemyprofessors.com/professor/2080230,
UNIVERSITY OF NORTH CAROLINA,MILADA,VACHUDOVA,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/319805,
UNIVERSITY OF NORTH CAROLINA,MATTHEW,WEIDENFELD,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2404069,
UNIVERSITY OF NORTH CAROLINA,JONATHAN,ABRAMOWITZ,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/1110450,
UNIVERSITY OF NORTH CAROLINA,SARA,ALGOE,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/1703944,
UNIVERSITY OF NORTH CAROLINA,JENNIFER,ARNOLD,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/792963,
UNIVERSITY OF NORTH CAROLINA,ANNA,BARDONE-CONE,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/1866676,
UNIVERSITY OF NORTH CAROLINA,DONALD,BAUCOM,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/1920946,
UNIVERSITY OF NORTH CAROLINA,DANIEL,BAUER,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/1614407,
UNIVERSITY OF NORTH CAROLINA,CHARLOTTE,BOETTIGER,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/1780817,
UNIVERSITY OF NORTH CAROLINA,KENNETH,BOLLEN,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/2264200,
UNIVERSITY OF NORTH CAROLINA,STEVEN,BUZINSKI,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/1900329,
UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/1763503,
UNIVERSITY OF NORTH CAROLINA,DANIEL,CHRISTOFFEL,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/2888850,
UNIVERSITY OF NORTH CAROLINA,SHAUNA,COOPER,PSYCHOLOGY,0,1,https://www.ratemyprofessors.com/professor/2441617,
UNIVERSITY OF NORTH CAROLINA,PATRICK,CURRAN,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/38309,
UNIVERSITY OF NORTH CAROLINA,STACEY,DAUGHTERS,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2889004,
UNIVERSITY OF NORTH CAROLINA,SARA,ESTLE,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2826792,
UNIVERSITY OF NORTH CAROLINA,SYLVIA,FITTING,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2218313,
UNIVERSITY OF NORTH CAROLINA,BARBARA,FREDRICKSON,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2306866,
UNIVERSITY OF NORTH CAROLINA,KATHLEEN,GATES,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2594750,
UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,PSYCHOLOGY,0,1,https://www.ratemyprofessors.com/professor/2639457,
UNIVERSITY OF NORTH CAROLINA,KAREN,GIL,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2450652,
UNIVERSITY OF NORTH CAROLINA,KELLY,GIOVANELLO,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2198840,
UNIVERSITY OF NORTH CAROLINA,OSCAR,GONZALEZ,PSYCHOLOGY,1,1,https://www.ratemyprofessors.com/professor/2669968,
UNIVERSITY OF NORTH CAROLINA,PETER,GORDON,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/2328993,
UNIVERSITY OF NORTH CAROLINA,KURT,GRAY,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/2005141,
UNIVERSITY OF NORTH CAROLINA,DESIREE,GRIFFIN,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/1886583,
UNIVERSITY OF NORTH CAROLINA,PATRICK,HARRISON,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2211217,
UNIVERSITY OF NORTH CAROLINA,JOSEPH,HOPFINGER,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/2002326,
UNIVERSITY OF NORTH CAROLINA,ANDREA,HUSSONG,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/1199310,
UNIVERSITY OF NORTH CAROLINA,ROSA,LI,PSYCHOLOGY,0,1,https://www.ratemyprofessors.com/professor/2591821,
UNIVERSITY OF NORTH CAROLINA,KRISTEN,LINDQUIST,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2208670,
UNIVERSITY OF NORTH CAROLINA,JEANNIE,LOEB,PSYCHOLOGY,0,1,https://www.ratemyprofessors.com/professor/955606,
UNIVERSITY OF NORTH CAROLINA,NEIL,MULLIGAN,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/285780,
UNIVERSITY OF NORTH CAROLINA,KEELY,MUSCATELL,PSYCHOLOGY,0,0,ratemyprofessors.com/professor/2210958,Ratings for Neuropsychiatry
UNIVERSITY OF NORTH CAROLINA,ABIGAIL,PANTER,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/123536,
UNIVERSITY OF NORTH CAROLINA,SHVETA,PAREKH,PSYCHOLOGY,0,1,https://www.ratemyprofessors.com/professor/2839496,
UNIVERSITY OF NORTH CAROLINA,NATASHA,PARIKH,PSYCHOLOGY,0,1,https://www.ratemyprofessors.com/professor/2696897,
UNIVERSITY OF NORTH CAROLINA,KEITH,PAYNE,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/841400,
UNIVERSITY OF NORTH CAROLINA,DAVID,PENN,PSYCHOLOGY,1,0,https://www.ratemyprofessors.com/professor/38312,
UNIVERSITY OF NORTH CAROLINA,RACHEL,PENTON,PSYCHOLOGY,0,0,https://www.ratemyprofessors.com/professor/2439943,
