row_id,row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment,out_misrep,out_emo_lang,out_ideo_extrem,out_slip_slope,out_insult,out_mock_sarc,out_threat,pa_dress,pa_appear,pa_attit,pa_interact,pa_humor,pa_other,pb_sex,pb_lgbtq,pb_race,pb_origin,pb_nuero_div,pb_phys_able,pb_pol_affil,complex,constructive,reflective,above_threshold,thumbs_up,thumbs_down
1149,3,3,4,POLI281,UNIVERSITY OF NORTH CAROLINA,TIMOTHY,RYAN,"6 assignments and a group final project. Extremely boring and inefficient lectures but easy enough to get through while mastering almost none of the material. He does not explain grading criteria very well so you can get a bad grade out of nowhere. Not difficult, just causes unnecessary amounts of stress and very boring lectures.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
464,2,2,3,PSYC62,UNIVERSITY OF NORTH CAROLINA,BARBARA,FREDRICKSON,"6 papers you write and she grades very hard. If you don't write the way she wants, she won't give you a good grade. Don't read the books its a waste of time. Overall Barb is a good lecturer, but the material at times can be quite boring. On the plus side there aren't any tests or quizes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
1264,5,3,3,ANTH190,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"A really nice professor. Exams were critically graded, so it is important that you do the readings. Lectures were interesting, though I felt the delivery was a bit boring.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,4,5,1,PSYC245,UNIVERSITY OF NORTH CAROLINA,JONATHAN,ABRAMOWITZ,Abramowitz is the best! So knowledgable about psychopathology. Lecture heavy but there's interesting videos and he's a great lecturer. Tests are 75% of your grade but all multiple choice and very straight forward. Easy A and great prof!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,12,5,2,SOCI57H,UNIVERSITY OF NORTH CAROLINA,HOWARD,ALDRICH,"Aldrich cares SO much about SOCI & students. Majority of grades are 4 short papers and one 15 page term paper, which is daunting but if you start early (or if you don't, it's manageable) He really wants to see students succeed. Utilize office hours even just to get to know him. Class itself is easy: groupwork, discussion, & activities/guests.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
634,10,5,1,POLI100,UNIVERSITY OF NORTH CAROLINA,MARC,HETHERINGTON,"All you have to do is take good notes during lecture/recitation and you're good. The information covered in lectures tends to be extremely boring. HOWEVER, Marc is such a naturally funny person that everyone stays engaged. During the course of the whole semester you're only graded by two papers and a few tests. Take this class!!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1272,13,1,3,ANTH319,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,Amanda is a utterly horrible human being. Grades are determined by TA's and they grade hard on exams for no reason. When you ask why points are taken off Amanda can't explain why and becomes snippy. You have to keep the same group for both projects which can be unfortunate. Grades are also not returned in a timely manner.,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8
429,1,5,1,NSCI222,UNIVERSITY OF NORTH CAROLINA,SARA,ESTLE,"Amazing class. A lot of material, but an easy A if you stay on top of your material. Lots of feedback to work with though.
 
  
 
  She's one of the best professors at UNC if you show sincerity and study hard as well. I know many people who passed with flying colors with no hassle. But some also managed to fail the class, so I guess you need to work a bit.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
973,5,4.5,4,PSYCH1,UNIVERSITY OF NORTH CAROLINA,ABIGAIL,PANTER,Amazing!!! She is THE Prof. to take. Any class that she is teaching....TAKE IT! You will not be disappointed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1287,8,1,3,POLI416,UNIVERSITY OF NORTH CAROLINA,ISAAC,UNAH,"An absolute clown of a professor. Completely disorganized and the students suffer from his lack of professionalism. Gives a quiz 5 minutes before the final exam because he forgot to give it to us when we had an appropriate amount of time for it. Doesnt respond to students comments or concerns, shows up late, rambles, terrible content. horrendous.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,8,4,2,SOCI700,UNIVERSITY OF NORTH CAROLINA,KENNETH,ANDREWS,Andy gets hotness points for his beard.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
318,1,2,4,PSYC220,UNIVERSITY OF NORTH CAROLINA,DANIEL,CHRISTOFFEL,"As someone who likes biopsychology and understands it, I didn't like this class at all. Professor Christoffel just read off his slides and his lectures were long and not engaging. Tests were cumulative and unnecessarily difficult which dragged my overall grade down. There is a group project which is easy to get full points on.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
423,1,2,4,SOCI251,UNIVERSITY OF NORTH CAROLINA,BARBARA,ENTWISLE,"Assignments were generally easy to complete and the material wasn't hard but the exams felt like you were set up to fail. There wasn't any one I spoke to who felt confident about the exams so no matter how much you study, its not going to work out. Also the group projects felt repetitive.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
725,7,2,4,POLI252,UNIVERSITY OF NORTH CAROLINA,ROBERT,JENKINS,Basically reads from the textbook the entire class. Takes attendance every day. Words questions for quizzes and tests poorly. Confusing with directions. Boring but nice (but he has to be right),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
188,2,4,4,PSYC533H,UNIVERSITY OF NORTH CAROLINA,DANIEL,BAUER,"Bauer ranks 1-2 standard deviations above the average instructor in kindness and understanding. Very easy to talk to. Virtual lectures sometimes were slow. Grades of 95 and above were A's. Generous but not very clear grading criteria. No final, just assignments, group project, and quizzes with like 5 questions (eek!)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1235,16,5,4,POLI89,UNIVERSITY OF NORTH CAROLINA,NIKLAUS,STEINER,Best professor I've had thus far. I learned so much from this class. A good amount of reading but all the articles are interesting and are discussed thoroughly in class. Papers are graded tough but it helps you become a better writer. Definitely not easy but it is so worth it. TAKE THIS CLASS!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
620,5,3,4,POLI435,UNIVERSITY OF NORTH CAROLINA,JONATHAN,HARTLYN,"BEWARE: Don't take this online. Quizzes, assignments assigned mid-week due 5pm Friday (sometimes in groups), group work (powerpoint), news reports. Hard exams (so much material is covered), lots of readings. Prof gave little accommodation; I suspect essay ext. was because of huge demand. Wait out COVID-19; you'll learn more, hate this class less.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
