"row_id","row","quality_of_class","difficulty_of_class","class_code","college","prof_firstname","prof_lastname","comment","out_misrep","out_emo_lang","out_ideo_extrem","out_slip_slope","out_insult","out_mock_sarc","out_threat","pa_dress","pa_appear","pa_attit","pa_interact","pa_humor","pa_other","pb_sex","pb_lgbtq","pb_race","pb_origin","pb_nuero_div","pb_phys_able","pb_pol_affil","complex","constructive","reflective","total_toxicity","TOXICITY","SEVERE_TOXICITY","INSULT","TOXICITY2","coded_toxic"
51,20,3.5,1,"SOCI","UNIVERSITY OF NORTH CAROLINA","HOWARD","ALDRICH","ok. not a hard grader and a decent teacher, but kind of a flake. relies heavily on jargon, ideology and intellectual trends.",0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14082454,0.0016975403,0.07301756,0.1425220803,1
87,6,1,4,"PSYC438","UNIVERSITY OF NORTH CAROLINA","JENNIFER","ARNOLD","Class does not teach about language, it teaches about research. If I wanted to learn about research, I would have taken that class again. Lectures are super dry and she's completely unorganized, does class work out of order, and does not know how to communicate. -10/10 Do not recommend.",0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.10826672,0.0017738342,0.033901088,0.1100405542,1
88,7,1,4,"PSYC438","UNIVERSITY OF NORTH CAROLINA","JENNIFER","ARNOLD","Horrible lecturer. Doesn't teach or answer questions well. Course content is painfully dry. She's disorganized, constantly contradicting herself, and has no idea how to use technology. Assignment instructions are vague and confusing. She's an overall atrocious communicator and is so out of touch with her students. DO NOT TAKE A CLASS WITH HER!!!!!!",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.52811706,0.023076924,0.5130944,0.551193984,1
89,8,1,4,"PSYC490","UNIVERSITY OF NORTH CAROLINA","JENNIFER","ARNOLD","She is so dumb!! Absolutely no help in class, unreachable, extremely rude, her presence infuriates everyone. Makes you question her phd's cause she is not good in her field. Super disorganized. UNC has some questionable profs in general, but she doesn't deserve to be one here. Class is easy-but theres a lot of effort. She wouldn't round at the end.",1,0.5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,0.681338,0.023076924,0.71120167,0.704414924,1
91,10,2,5,"PSYCH438","UNIVERSITY OF NORTH CAROLINA","JENNIFER","ARNOLD","This class was a huge disappointment. Lots of readings and homework, rubrics, and criteria for assignments were incredibly vague. Also, she is a really tough grader for someone whose teaching skills are so average. Don't take this class.",0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0.18269104,0.0021648407,0.07998765,0.1848558807,1
93,12,2,4,"PSYC432","UNIVERSITY OF NORTH CAROLINA","JENNIFER","ARNOLD","Just don't. I wish I would have taken a different upper level Psychology class. She is a very tough grader, yet not a great lecturer. Easy to conflict with her personality/style. Uses a bell curve for grades.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.054779384,0.0009536743,0.027605021,0.0557330583,1
97,16,3,2,"PSYC58H","UNIVERSITY OF NORTH CAROLINA","JENNIFER","ARNOLD","Dr. Arnold's PSYC 58 seminar is quite easy. A nice teacher but could be a boringbad lecturer.",0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15213956,0.001373291,0.0816321,0.153512851,1
153,1,1,4,"POLI288","UNIVERSITY OF NORTH CAROLINA","ANNA","BASSI","She uses a flipped teaching method which should've been my first red flag. IMO, flipped teaching is an excuse for lazy professors to not do their jobs and then when you come to them struggling, they can blame it on you for ""not doing the reading"". The topic is especially difficult, you're made to teach it to yourself, and she's rude. Save yourself.",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.32764325,0.0043678284,0.35161978,0.3320110784,1
196,6,5,2,"POLI203","UNIVERSITY OF NORTH CAROLINA","FRANK","BAUMGARTNER","Fbaum became a sort of cult legend in our class. He's funny, knowledgable, and structured. Some of the ideological bent did come through during the semester and little time is spent on victims or crimes, but the class was largely fascinating statistics and interesting anecdotes. A great way to get your US and SS credits. TAKE IT.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.039226998,0.001335144,0.017549826,0.040562142,1
260,3,2,3,"SOCI252","UNIVERSITY OF NORTH CAROLINA","YONG","CAI","Stat was really hard and confusing. Nothing was that hard just confusing and weird. Prof Cai has a thick accent so if that is distracting for you I wouldn't recommend because lectures are so helpful in understanding the content. Midterm and final were hard.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.04315203,0.0009870529,0.02173949,0.0441390829,1
